"","Kingdom","Phylum","Class","Order","Family","Genus"
"sp1998","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"sp1999","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Dialister"
"sp2000","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella"
"sp2001","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Hafnia-Obesumbacterium"
"sp2002","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Acidaminococcus"
"sp2003","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"sp2004","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae",NA
"sp2005","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae",NA
"sp2006","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"sp2007","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"sp2009","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA
"sp2010","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Sutterella"
"sp2011","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus_2"
"sp2012","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4A136_group"
"sp2013","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"sp2014","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"sp2016","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenellaceae_R-7_group"
"sp2017","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus_3"
"sp2018","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA
"sp2019","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes"
"sp2020","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"sp2023","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_UCG-003"
"sp2024","Bacteria","Firmicutes","Clostridia","Clostridiales","Defluviitaleaceae","Defluviitaleaceae_UCG-011"
"sp2025","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"sp2026","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA
"sp2027","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes"
"sp2028","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA
"sp2029","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-014"
"sp2030","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_1"
"sp2032","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenellaceae_R-7_group"
"sp2033","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Sutterella"
"sp2034","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"sp2035","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA
"sp2036","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"sp2037","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium"
"sp2038","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"sp2039","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_9"
"sp2040","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum"
"sp2041","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium"
"sp2042","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-013"
"sp2043","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Intestinibacter"
"sp2045","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_9"
"sp2046","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium"
"sp2047","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"sp2048","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"sp2049","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Dielma"
"sp2050","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"sp2051","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Enhydrobacter"
"sp2052","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Sellimonas"
"sp2053","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"sp2055","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA
"sp2056","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-010"
"sp2057","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Adlercreutzia"
"sp2058","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus"
"sp2059","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"sp2060","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira"
"sp2061","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Turicibacter"
"sp2062","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira"
"sp2063","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"sp2064","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group",NA
"sp2065","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_UCG-003"
"sp2068","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-002"
"sp2069","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"sp2071","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenellaceae_R-7_group"
"sp2073","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Ureaplasma"
"sp2074","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Sutterella"
